a	a 1
bỗng	b o ŋ͡m 3
bổng	b o ŋ͡m 4
bộng	b o ŋ͡m 6
bõng	b ɔ ŋ͡m 3
bỏng	b ɔ ŋ͡m 4
bọng	b ɔ ŋ͡m 6
bóp	b ɔ p 5
bốp	b o p 5
bộp	b o p 6
bọp	b ɔ p 6
bớp	b ɤ p 5
bợp	b ɤ p 6
bót	b ɔ t 5
bốt	b o t 5
bột	b o t 6
bọt	b ɔ t 6
bớt	b ɤ t 5
bợt	b ɤ t 6
bu	b u 1
bú	b u 5
bù	b u 2
bủ	b u 4
bụ	b u 6
bư	b ɯ 1
bứ	b ɯ 5
bự	b ɯ 6
bua	b uə 1
búa	b uə 5
bùa	b uə 2
bủa	b uə 4
bụa	b uə 6
bưa	b ɯə 1
bứa	b ɯə 5
bừa	b ɯə 2
bữa	b ɯə 3
bửa	b ɯə 4
bựa	b ɯə 6
bục	b u k͡p 6
bức	b ɯ k 5
bực	b ɯ k 6
buê	bw ʷe 1
bui	b u j 1
búi	b u j 5
bùi	b u j 2
bụi	b u j 6
bum	b u m 1
bùm	b u m 2
bũm	b u m 3
bủm	b u m 4
bụm	b u m 6
bun	b u n 1
bún	b u n 5
bùn	b u n 2
bủn	b u n 4
bừn	b ɯ n 2
bung	b u ŋ͡m 1
búng	b u ŋ͡m 5
bùng	b u ŋ͡m 2
bủng	b u ŋ͡m 4
bụng	b u ŋ͡m 6
bưng	b ɯ ŋ 1
bứng	b ɯ ŋ 5
bừng	b ɯ ŋ 2
bửng	b ɯ ŋ 4
bựng	b ɯ ŋ 6
buộc	b uə k 6
bước	b ɯə k 5
buôi	b uə j 1
buồi	b uə j 2
buổi	b uə j 4
bươi	b ɯə j 1
bưởi	b ɯə j 4
buồm	b uə m 2
bươm	b ɯə m 1
bướm	b ɯə m 5
buôn	b uə n 1
buồn	b uə n 2
bươn	b ɯə n 1
buông	b uə ŋ 1
buồng	b uə ŋ 2
bương	b ɯə ŋ 1
bướng	b ɯə ŋ 5
bướp	b ɯə p 5
buốt	b uə t 5
buột	b uə t 6
bượt	b ɯə t 6
bươu	b ɯə w 1
bướu	b ɯə w 5
búp	b u p 5
bụp	b u p 6
bút	b u t 5
bụt	b u t 6
bứt	b ɯ t 5
bựt	b ɯ t 6
bưu	b ɯ w 1
bứu	b ɯ w 5
bửu	b ɯ w 4
buy	bw ʷi 1
buýt	bw ʷi t 5
ca	k a 1
cá	k a 5
cà	k a 2
cả	k a 4
cạ	k a 6
các	k a k 5
cắc	k ă k 5
cặc	k ă k 6
cấc	k ɤ̆ k 5
cạc	k a k 6
cách	k a tʃ 5
cạch	k a tʃ 6
cai	k a j 1
cái	k a j 5
cài	k a j 2
cãi	k a j 3
cải	k a j 4
cam	k a m 1
cám	k a m 5
càm	k a m 2
căm	k ă m 1
cắm	k ă m 5
cằm	k ă m 2
cặm	k ă m 6
câm	k ɤ̆ m 1
cấm	k ɤ̆ m 5
cầm	k ɤ̆ m 2
cẫm	k ɤ̆ m 3
